TemP (K),Time (min),PS (mm),BET (m2/g),PV (cm3),C (wt.%),H  (wt.%),N  (wt.%),O  (wt.%),Qm (mg/g),TP_Benzocaine,TP_Ciprofloxacin,TP_Citalopram,TP_Diclofenac ,TP_Dimetridazole,TP_Floxentine,TP_Metronidazole,TP_Nitroimidazole,TP_Norfloxacin,TP_Oxytetracycline,TP_Salicylic acid,TP_Sulfadiazine,TP_Sulfamethoxazole,TP_Tetracycline,TP_Triclosan,TP_ibuprofen,TP_sulfamethazine 
657.3157,27.842453,8.030827,274.7256,0.12228851,48.720898,0.35597792,3.22264,6.6389613,1.3292427,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
697.3008,170.32999,4.1973186,78.76572,0.17844987,54.79289,2.0757298,3.6169722,21.967333,65.60089,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531.64294,115.72539,13.4574995,312.86234,0.064545855,75.96127,0.33279303,4.194841,10.923302,68.18092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
687.50775,80.354294,6.362271,-67.14451,0.00391895,45.444702,0.35569695,0.9552343,11.047314,64.76158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
588.348,92.23871,3.5147848,-65.95785,0.27845472,40.02913,0.93109787,-0.27881956,23.494589,51.629612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
438.38678,41.63829,12.923944,71.02881,0.29864034,40.554855,0.36871532,-0.11530494,11.242085,74.9349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
707.7398,267.5776,10.517436,91.44408,0.3097449,69.29152,0.39680162,1.9393797,16.128578,57.7818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
672.5249,57.396385,9.570567,291.3837,0.16486652,67.227615,0.79264295,2.021063,17.12384,58.257656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
684.2607,25.910484,9.5267725,47.932896,0.108323626,39.911083,0.35620978,0.10022951,10.378848,54.040195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
597.8235,51.694054,1.915889,134.1495,0.004946997,66.84236,1.490574,0.9603381,14.236587,70.59076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
688.2868,85.12342,12.705106,74.2515,0.09229687,67.72013,0.36438373,0.10465575,21.091988,21.97722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
610.96857,59.093246,7.219113,63.298862,0.03345711,57.897015,0.4992968,0.20595743,13.7156925,67.98924,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453.96045,35.536278,10.65004,-12.923288,0.13699482,57.17646,0.49593,-0.45327902,7.063995,36.093254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621.07996,246.06874,10.778603,-19.93603,0.31158906,41.791817,1.0048782,1.3976285,16.000849,42.33238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640.3602,90.2504,13.006023,322.63495,0.13503133,43.991608,0.3464158,0.18260111,10.132171,27.07841,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
666.8673,31.279137,9.382406,195.06468,0.20382723,77.65253,1.5188982,1.8090738,16.089611,30.017641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
569.62714,39.115974,4.8227906,-21.472696,0.2909541,44.292465,0.5657766,0.62568414,23.751896,88.066315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
687.5044,114.89679,3.5584023,-98.13329,0.07553941,69.303345,0.4965537,0.33814907,11.277594,8.555893,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
608.73157,179.9483,11.970144,-41.045254,0.095026575,58.967937,0.40127125,2.1623573,11.9848585,60.844845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
703.1179,94.47782,4.216297,0.976614,0.046649475,48.2994,0.41250196,0.07516921,9.849546,69.70939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
416.25775,40.805527,11.881338,30.194784,-0.012920703,62.86713,0.5238626,0.63394034,13.125788,79.071396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
522.8619,76.16874,13.241191,412.82938,0.31585082,44.997555,0.39870062,1.3018235,23.520597,89.05709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
534.6671,29.45559,12.154944,358.031,0.082139395,72.33306,1.8861307,2.3808587,25.429556,87.979034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639.72534,256.1357,12.246035,212.28383,0.310299,45.806942,0.4806017,1.6903577,13.76991,9.236765,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
687.2075,68.10777,9.745676,11.126242,0.15840511,67.5139,3.1959972,2.2340786,19.140993,43.512684,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
640.7511,123.72506,10.351033,264.9615,0.2792852,40.251766,0.50369215,1.7053586,16.982075,40.63058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
501.02112,60.12912,9.692487,144.4456,0.03305902,48.576153,2.402818,2.7317712,25.393255,2.3588448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
441.5888,54.045082,8.551363,293.8649,0.17096986,52.6692,2.7513719,1.8958156,12.779242,34.637955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
596.98444,43.36753,4.808341,371.6858,0.19546571,75.3716,3.0809684,-0.032031763,25.16086,69.07052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
472.8569,67.332436,7.1017823,5.741766,0.09398836,57.230137,0.59214556,1.5664477,12.726845,86.15265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
675.6478,58.649704,10.296866,-11.305033,0.02132729,63.100193,0.7487663,1.3707938,22.221079,83.8671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
602.3956,122.632195,11.632125,383.1552,0.2578085,66.057236,1.4504777,1.318581,15.455723,67.403656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
461.55573,84.51848,11.4720335,281.9377,0.2989154,38.925297,0.43540576,3.9460933,15.023909,57.421288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
428.52417,154.806,5.9132366,64.47043,0.15915696,48.97617,0.37068072,3.7958417,6.3465877,35.797848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
542.1289,39.83436,6.7677884,-38.717434,0.043987203,56.11377,0.38677362,2.5131547,8.2742815,78.13298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
524.18964,74.18177,6.292271,86.557686,0.16515201,68.46804,2.7730403,2.813765,14.704291,70.483696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
579.78815,63.890312,10.139654,141.1163,0.017964128,62.564228,1.1388272,2.5749407,8.22994,57.707047,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
551.5038,217.5602,12.983127,61.131916,0.052128945,73.36993,0.34230414,3.2607026,12.660163,54.401756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577.5592,91.60636,11.501447,130.55528,0.16991432,41.66453,0.33998886,4.002275,6.5055776,81.47452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
711.29395,41.845833,10.788497,240.09244,0.03111099,73.909996,0.9141716,-0.31777692,11.041413,18.089426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
431.38528,86.14416,12.500711,295.05743,0.074566014,70.98238,0.5811763,3.4172292,14.833007,82.09833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618.34296,51.03373,9.0842905,-27.066278,0.019609261,60.753567,0.42810014,1.0466452,21.28076,67.83792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
580.9677,184.39851,5.913681,16.493093,0.13857748,37.798477,0.58812904,-0.032224167,6.6628213,71.12758,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
496.44916,68.822044,6.2816277,154.13289,0.09656466,49.302467,0.45800176,2.948693,8.421954,41.84073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
616.65906,163.90518,9.998628,178.70811,0.29486185,76.290764,0.950675,1.0045248,14.8359995,66.125595,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
595.7736,58.681274,9.7562475,362.7491,0.30584157,62.04995,0.36738923,-0.32533383,13.951154,92.888176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698.3055,142.70702,12.223602,9.653891,0.059347805,52.496387,0.360881,3.4005098,6.828093,35.878597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
563.082,142.58527,11.83576,361.5728,0.24386886,72.934555,1.599658,3.7163055,20.017546,37.959496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
622.1059,217.84059,10.0180645,-57.4788,0.12108406,56.368416,1.3028274,0.95868826,11.932551,23.900911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
477.41415,98.87925,4.269816,153.97112,0.07603013,41.30192,0.42488495,1.3207113,22.8598,34.356647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
456.5232,249.19815,7.9294667,16.711187,0.27621344,41.621296,0.51754594,2.639398,15.046563,61.003395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
542.32825,74.776665,9.131726,101.836365,0.16795541,55.488197,0.81839776,2.1695375,23.317425,29.151983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
506.39734,60.814507,8.105815,43.6283,0.11861063,60.736725,0.34988096,-0.11684274,6.0401244,81.99711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595.62976,53.952545,6.367851,293.28815,0.18181868,42.9312,0.3517113,3.5083458,6.484507,85.806786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
619.66864,41.475685,3.6465197,180.54436,-0.017276403,68.161415,0.5572299,2.2586708,8.881713,40.926975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
704.42236,25.028175,11.593654,-41.63087,0.015693787,73.83018,0.56221473,4.0332074,7.082976,8.974312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
568.35077,153.81488,6.997677,287.66995,0.30277878,68.537506,0.69558525,2.6898699,21.791756,85.861496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
427.52246,268.16827,12.612181,259.54553,0.24318664,43.7197,0.3324187,4.426433,8.299679,6.928364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724.7562,139.54034,2.7252462,190.40622,0.30179763,43.583027,0.38159922,0.33068097,7.0355105,85.000595,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647.9359,177.49713,10.943731,432.789,0.2330179,62.26832,0.75775516,0.7190572,7.6401086,30.03165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
598.03015,169.70113,9.445802,377.49954,0.23578171,57.583717,0.5296315,-0.057365883,7.018308,82.05164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465.24518,108.933685,10.486478,224.23358,0.31506994,62.889076,0.55629134,0.03613163,25.608067,89.9494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
694.0405,90.150246,4.760903,96.310295,0.03599004,44.914642,0.5664581,3.5912068,9.563036,19.798792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
416.02066,99.90929,7.6966825,129.10146,0.20167468,62.05057,1.000473,0.89749587,24.33397,89.32689,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
711.5763,138.28387,9.76985,-49.89625,0.2982323,39.409344,0.38601878,3.0641544,18.776573,58.955933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
672.30566,37.878258,2.6902797,29.741385,0.02355558,75.49446,0.9888884,1.1543003,16.647036,65.86079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
616.1944,28.162056,10.894286,241.88997,0.21994242,71.636986,0.94544905,1.1054916,11.1292,76.60518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
626.2659,212.22354,4.140945,434.31378,0.2168185,57.093792,0.5605899,0.06741501,25.34177,91.141304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
649.65125,148.38925,8.690787,48.42029,0.25122312,42.136005,0.5016248,0.68654037,22.472824,59.25247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
455.3116,81.100555,12.751397,-77.28939,0.1214708,51.326977,0.3860151,3.8040147,9.463504,49.489277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458.9997,82.06315,7.984959,64.342255,0.2758856,46.524605,0.37049368,1.9288621,12.92818,19.912304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
717.8024,48.865715,9.32358,0.4546566,0.27819234,49.020786,0.39479974,1.6876659,7.0620522,32.853714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
714.8351,147.30351,12.159829,212.57027,0.2887437,46.284626,0.46938697,2.3580623,16.94332,62.608723,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
470.1882,30.237389,1.2767565,344.05795,0.1604048,41.40486,2.4902399,0.36286414,23.70987,80.748146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
653.20624,197.22015,10.603174,74.98901,0.038581926,73.05897,0.40526107,3.017614,6.755656,44.907608,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
466.93695,218.38089,10.809939,12.15621,0.025826227,58.722538,1.2352768,1.8848418,11.929708,48.587242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
466.07898,24.905174,1.02795,389.7781,0.15774092,65.888794,0.7529572,2.403991,9.634937,93.201805,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
642.5705,64.661064,11.480182,-19.342768,0.040010568,69.684395,0.37841395,2.9619772,11.969284,65.21672,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
638.6575,145.81929,10.133709,-10.053568,0.14527275,52.779568,0.60011387,1.9883657,14.859445,79.628876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
625.4765,201.52832,3.5497677,69.53812,0.29743573,48.867756,0.9362201,1.3034568,18.454367,85.76726,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
493.42456,29.96804,5.9635816,-84.89413,0.041450728,51.67853,0.52688086,1.2088777,8.261892,90.93642,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531.4272,30.884514,4.32998,93.717064,0.30370748,60.45286,1.6451004,3.939626,23.078394,52.10184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
588.4,45.401695,12.229714,-35.79504,0.20209646,46.345802,1.2645948,0.22953059,18.463493,10.835035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
587.43945,84.70306,2.0971248,156.98642,0.2654842,44.926113,1.1022793,4.4737115,9.913471,4.563278,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
680.8355,99.22013,3.7568262,156.31573,0.092691764,58.04154,0.33331588,2.072632,6.3814607,43.9898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684.07855,96.64056,9.560895,7.040228,0.21151063,67.106285,0.48596314,2.289289,6.1815333,34.883846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
711.7799,128.22606,10.288493,17.275183,0.016295854,66.1786,2.4480698,1.8663939,10.459512,8.786869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591.301,104.32668,7.031447,152.78079,0.01470532,58.505524,2.1780925,4.044439,17.049145,69.61086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667.1024,128.39098,7.5322895,13.309423,0.305186,40.00205,0.52707124,3.3951159,15.527158,87.78631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
695.4712,30.563477,12.593911,176.58307,0.23952527,42.756443,0.33493462,1.2725248,12.515604,64.31732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
522.00916,206.98215,12.076539,9.731939,0.16968355,56.432564,0.48402408,2.195001,22.15994,14.191925,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
488.24887,264.99725,10.83273,253.77324,0.30833536,40.784225,0.4334809,0.6674644,7.7032504,12.466076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
583.1066,136.0676,13.240557,-6.864496,0.23442052,40.50091,0.39759758,1.1721112,7.921589,5.168213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
659.36316,127.518616,11.6612625,-4.0240726,0.25598592,44.98157,0.34926215,4.1176405,11.116177,18.51393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
621.57983,49.967285,11.520131,-40.570766,0.10371597,73.2694,1.1798214,2.783111,19.390417,66.992294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
691.03064,132.46317,12.502141,-29.964869,0.120270856,58.31518,0.6372937,0.20984985,14.742514,20.514791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
509.56442,187.51321,8.011338,-70.51202,0.29230696,37.917492,0.36745766,-0.374403,12.319284,20.007517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
661.32556,28.541786,7.9655643,371.55002,0.14024433,65.389046,0.3648875,1.2351705,15.054027,51.77444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
563.9216,176.79555,11.627377,-9.552835,0.30695525,37.886436,0.34583834,2.6565037,14.343106,57.623295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
669.7864,55.017807,6.9695945,56.262966,0.26412687,47.55062,0.7737957,-0.25880456,11.226993,87.18023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
466.75424,101.12668,7.222157,315.39188,0.27863726,48.244576,0.4533277,1.3946859,8.280736,13.265333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
489.70947,219.97275,12.766043,431.6095,0.20647644,45.762924,0.79189324,0.52667654,16.832615,35.751865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
586.2982,106.7723,9.959731,289.65842,0.15403257,43.713467,0.39946428,4.365795,17.707693,7.8912964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
643.2178,66.264305,10.945926,196.4253,0.27191374,63.421963,1.6112969,0.32563376,13.4037485,75.296036,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
713.5229,53.78795,3.0124164,217.07512,0.17775281,46.75324,1.0148307,2.8413398,22.711126,75.15612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
647.8182,105.090645,11.962434,381.49088,0.21562044,65.800545,0.35095587,3.08449,8.729033,35.959675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
547.8779,26.027603,10.80949,-3.82905,0.007770886,51.174675,0.46521202,-0.38962626,12.680472,38.550262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
